S.no,District,Transaction_count,Transaction_amount,Quarter,Year,State
1264,hojai district,285880,717552682.8,2,2021,assam
1265,marigaon district,452067,1213004304,2,2021,assam
1266,chirang district,173228,416705187.9,2,2021,assam
1267,cachar district,743120,1680050956,2,2021,assam
1268,nalbari district,265787,614926960.4,2,2021,assam
1269,west karbi anglong district,51169,93322156.33,2,2021,assam
1270,dhemaji district,299375,707439590.9,2,2021,assam
1271,karimganj district,376322,1008636325,2,2021,assam
1272,bongaigaon district,445957,1107075860,2,2021,assam
1273,dima hasao district,127333,291445306,2,2021,assam
1274,baksa district,333425,874733682.8,2,2021,assam
1275,charaideo district,169721,406368639.3,2,2021,assam
1276,darrang district,373027,991719331.1,2,2021,assam
1277,kamrup metropolitan district,12113618,26948905679,2,2021,assam
1278,hailakandi district,258553,622102715.3,2,2021,assam
1279,barpeta district,1094358,2927546915,2,2021,assam
1280,goalpara district,544911,1475602701,2,2021,assam
1281,biswanath district,255222,546335899.9,2,2021,assam
1282,jorhat district,448050,911359043.2,2,2021,assam
1283,tinsukia district,726497,1620117007,3,2021,assam
1284,lakhimpur district,433255,930738036.2,3,2021,assam
1285,kamrup district,957373,2112276358,3,2021,assam
1286,kokrajhar district,366661,966061545.1,3,2021,assam
1287,karbi anglong district,338533,828250761.7,3,2021,assam
1288,sivasagar district,350815,733449637.3,3,2021,assam
1289,dibrugarh district,1116075,2517711536,3,2021,assam
1290,south salmara mancachar district,245208,682772092.1,3,2021,assam
1291,nagaon district,1156024,2903215136,3,2021,assam
1292,dhubri district,668723,1682447561,3,2021,assam
1293,golaghat district,446587,965096814.5,3,2021,assam
1294,udalguri district,291168,657660643.9,3,2021,assam
1295,majuli district,51208,102034226,3,2021,assam
1296,sonitpur district,1030160,2385666128,3,2021,assam
1297,hojai district,368350,874185464.7,3,2021,assam
1298,marigaon district,554657,1470486046,3,2021,assam
1299,chirang district,220676,528538770.6,3,2021,assam
1300,cachar district,998685,2285248943,3,2021,assam
1301,nalbari district,318284,722110352.8,3,2021,assam
1302,west karbi anglong district,57137,112522665.5,3,2021,assam
1303,dhemaji district,359737,848544237.5,3,2021,assam
1304,karimganj district,524239,1393649226,3,2021,assam
1305,bongaigaon district,548175,1331228200,3,2021,assam
1306,dima hasao district,149975,353350846.6,3,2021,assam
1307,baksa district,418859,1074324608,3,2021,assam
1308,charaideo district,201059,479392451,3,2021,assam
1309,darrang district,498938,1241235476,3,2021,assam
1310,kamrup metropolitan district,16840668,36123082535,3,2021,assam
1311,hailakandi district,360281,801449299.1,3,2021,assam
1312,barpeta district,1436928,3522432995,3,2021,assam
1313,goalpara district,650085,1747257316,3,2021,assam
1314,biswanath district,288131,620203649.4,3,2021,assam
1315,jorhat district,531290,1083758709,3,2021,assam
1316,tinsukia district,924326,2099664801,4,2021,assam
1317,lakhimpur district,560279,1263722648,4,2021,assam
1318,kamrup district,1326629,2906827876,4,2021,assam
1319,kokrajhar district,529425,1392051534,4,2021,assam
1320,karbi anglong district,448701,1157896438,4,2021,assam
1321,sivasagar district,452511,991840783,4,2021,assam
1322,dibrugarh district,1489321,3247229901,4,2021,assam
1323,south salmara mancachar district,314595,919174483.8,4,2021,assam
1324,nagaon district,1599255,4181552743,4,2021,assam
1325,dhubri district,947815,2452971275,4,2021,assam
1326,golaghat district,597064,1337575802,4,2021,assam
1327,udalguri district,406086,917680978.1,4,2021,assam
1328,majuli district,65312,129028300.4,4,2021,assam
1329,sonitpur district,1437714,3119948216,4,2021,assam
1330,hojai district,527676,1247022294,4,2021,assam
1331,marigaon district,846244,2372441370,4,2021,assam
1332,chirang district,298090,751602013.9,4,2021,assam
1333,cachar district,1424029,3288405319,4,2021,assam
1334,nalbari district,437199,1015183561,4,2021,assam
1335,west karbi anglong district,72436,155335117.5,4,2021,assam
1336,dhemaji district,450526,1098025411,4,2021,assam
1337,karimganj district,719693,2011084237,4,2021,assam
1338,bongaigaon district,760610,1900609318,4,2021,assam
1339,dima hasao district,188499,461001023.1,4,2021,assam
1340,baksa district,575080,1530357404,4,2021,assam
1341,charaideo district,255415,657528333.4,4,2021,assam
1342,darrang district,772608,2012722512,4,2021,assam
1343,kamrup metropolitan district,22903930,48177919267,4,2021,assam
1344,hailakandi district,494043,1131182052,4,2021,assam
1345,barpeta district,2145496,5341626360,4,2021,assam
1346,goalpara district,920783,2590433258,4,2021,assam
1347,biswanath district,368466,837297984.1,4,2021,assam
1348,jorhat district,760505,1488025280,4,2021,assam
1349,tinsukia district,1110108,2471991460,1,2022,assam
1350,lakhimpur district,725851,1653871931,1,2022,assam
1351,kamrup district,1708845,3838019247,1,2022,assam
1352,kokrajhar district,703834,1794915585,1,2022,assam
1353,karbi anglong district,576671,1480533627,1,2022,assam
1354,sivasagar district,570136,1201010320,1,2022,assam
1355,dibrugarh district,1830668,3721424815,1,2022,assam
1356,south salmara mancachar district,424292,1357660616,1,2022,assam
1357,nagaon district,2049272,5405490460,1,2022,assam
1358,dhubri district,1247298,3380205337,1,2022,assam
1359,golaghat district,753488,1681747448,1,2022,assam
1360,udalguri district,547716,1168300625,1,2022,assam
1361,majuli district,89346,172837394.2,1,2022,assam
1362,sonitpur district,1805856,3651941482,1,2022,assam
1363,hojai district,665166,1595056089,1,2022,assam
1364,marigaon district,1027786,2790138102,1,2022,assam
1365,chirang district,363645,951303010.3,1,2022,assam
1366,cachar district,1869862,4225305321,1,2022,assam
1367,nalbari district,571467,1369285179,1,2022,assam
1368,west karbi anglong district,88219,186901516.6,1,2022,assam
1369,dhemaji district,562489,1369239049,1,2022,assam
1370,karimganj district,962907,2759677605,1,2022,assam
1371,bongaigaon district,1014501,2661981437,1,2022,assam
1372,dima hasao district,216314,509944077.1,1,2022,assam
1373,baksa district,731895,1944006765,1,2022,assam
1374,charaideo district,311136,742058516.3,1,2022,assam
1375,darrang district,1205741,2732173375,1,2022,assam
1376,kamrup metropolitan district,28908435,60093746993,1,2022,assam
1377,hailakandi district,652625,1476770132,1,2022,assam
1378,barpeta district,2846523,7413611761,1,2022,assam
1379,goalpara district,1299073,3720380320,1,2022,assam
1380,biswanath district,470228,990785769.7,1,2022,assam
1381,jorhat district,978493,1768122527,1,2022,assam
1382,tinsukia district,1393042,2864342185,2,2022,assam
1383,lakhimpur district,949594,1949181061,2,2022,assam
1384,kamrup district,2122755,4247651139,2,2022,assam
1385,kokrajhar district,941658,2134593237,2,2022,assam
1386,karbi anglong district,663418,1596022244,2,2022,assam
1387,sivasagar district,694978,1292419445,2,2022,assam
1388,dibrugarh district,2372318,4426557092,2,2022,assam
1389,south salmara mancachar district,532090,1518417902,2,2022,assam
1390,nagaon district,2624899,6401629330,2,2022,assam
1391,dhubri district,1748061,4095843492,2,2022,assam
1392,golaghat district,928135,1870905475,2,2022,assam
1393,udalguri district,731430,1374405320,2,2022,assam
1394,majuli district,105899,192613565.7,2,2022,assam
1395,sonitpur district,2331103,4228702695,2,2022,assam
1396,hojai district,832316,1885347223,2,2022,assam
1397,marigaon district,1362294,3195268221,2,2022,assam
1398,chirang district,483371,1142819737,2,2022,assam
1399,cachar district,2208886,4390976386,2,2022,assam
1400,nalbari district,711088,1547056524,2,2022,assam
1401,west karbi anglong district,98911,208934121.9,2,2022,assam
1402,dhemaji district,698448,1532877540,2,2022,assam
1403,karimganj district,1164306,2886007289,2,2022,assam
1404,bongaigaon district,1380703,3242058586,2,2022,assam
1405,dima hasao district,228456,545715522.5,2,2022,assam
1406,baksa district,905373,2132096440,2,2022,assam
1407,charaideo district,382915,812357268.9,2,2022,assam
1408,darrang district,1764727,3227701242,2,2022,assam
1409,kamrup metropolitan district,37896005,70515346667,2,2022,assam
1410,hailakandi district,787208,1571435620,2,2022,assam
1411,barpeta district,3782074,8597920827,2,2022,assam
1412,goalpara district,1660385,4241626695,2,2022,assam
1413,biswanath district,604714,1221547711,2,2022,assam
1414,jorhat district,1243165,2020664284,2,2022,assam
1415,tinsukia district,1596815,3042250714,3,2022,assam
1416,lakhimpur district,1107100,2067093941,3,2022,assam
1417,kamrup district,2430234,4614592326,3,2022,assam
1418,kokrajhar district,1067899,2284375603,3,2022,assam
1419,karbi anglong district,859889,1828335932,3,2022,assam
1420,sivasagar district,747403,1314001866,3,2022,assam
1421,dibrugarh district,2307181,3933628296,3,2022,assam
1422,south salmara mancachar district,605276,1484669445,3,2022,assam
1423,nagaon district,2968058,6558107158,3,2022,assam
1424,dhubri district,2223747,4556385242,3,2022,assam
1425,golaghat district,1053657,2034519777,3,2022,assam
1426,udalguri district,863753,1579156772,3,2022,assam
1427,majuli district,134355,225690807.1,3,2022,assam
1428,sonitpur district,3096898,5410346627,3,2022,assam
1429,hojai district,1043820,2113483858,3,2022,assam
1430,marigaon district,1489205,3238457318,3,2022,assam
1431,chirang district,715691,1537298775,3,2022,assam
1432,cachar district,2665315,5192449137,3,2022,assam
1433,nalbari district,794013,1648877909,3,2022,assam
1434,west karbi anglong district,109757,205472736.9,3,2022,assam
1435,dhemaji district,772797,1515654183,3,2022,assam
1436,karimganj district,1334451,3178134072,3,2022,assam
1437,bongaigaon district,1668882,3479985150,3,2022,assam
1438,dima hasao district,288848,678521294.5,3,2022,assam
1439,baksa district,994859,2149845146,3,2022,assam
1440,charaideo district,653536,1267458929,3,2022,assam
1441,darrang district,1805090,3233214493,3,2022,assam
1442,kamrup metropolitan district,39606017,69410860235,3,2022,assam
1443,hailakandi district,1560929,2991549160,3,2022,assam
1444,barpeta district,4561028,9149960686,3,2022,assam
1445,goalpara district,2054687,4590076568,3,2022,assam
1446,biswanath district,668091,1279949512,3,2022,assam
1447,jorhat district,2264530,3694675387,3,2022,assam
1448,tinsukia district,1847473,3636219480,4,2022,assam
1449,lakhimpur district,1397791,2505469639,4,2022,assam
1450,kamrup district,3473735,6488564510,4,2022,assam
1451,kokrajhar district,1249751,2609828653,4,2022,assam
1452,karbi anglong district,1030879,2189719280,4,2022,assam
1453,sivasagar district,883421,1544157685,4,2022,assam
1454,dibrugarh district,2781759,4540236249,4,2022,assam
1455,south salmara mancachar district,763570,1935371794,4,2022,assam
1456,nagaon district,3466436,7442294883,4,2022,assam
1457,dhubri district,2801543,5696918774,4,2022,assam
1458,golaghat district,1247652,2348259382,4,2022,assam
1459,udalguri district,1048339,1929847430,4,2022,assam
1460,majuli district,170716,264376861,4,2022,assam
1461,sonitpur district,3570910,5955878582,4,2022,assam
1462,hojai district,1188838,2311470243,4,2022,assam
1463,marigaon district,1732867,3678892463,4,2022,assam
1464,chirang district,763852,1640747076,4,2022,assam
1465,cachar district,3169492,6146128033,4,2022,assam
1466,nalbari district,956563,1913556550,4,2022,assam
1467,west karbi anglong district,139542,264423911.4,4,2022,assam
1468,dhemaji district,913590,1749366722,4,2022,assam
1469,karimganj district,1635099,3857130937,4,2022,assam
1470,bongaigaon district,2301942,4663672961,4,2022,assam
1471,dima hasao district,323049,753858279.5,4,2022,assam
1472,baksa district,1159058,2539432688,4,2022,assam
1473,charaideo district,620063,1222334993,4,2022,assam
1474,darrang district,1903379,3947924967,4,2022,assam
1475,kamrup metropolitan district,48873033,84183380553,4,2022,assam
1476,hailakandi district,1179854,2307448482,4,2022,assam
1477,barpeta district,5914147,12025232757,4,2022,assam
1478,goalpara district,2471469,5401152298,4,2022,assam
1479,biswanath district,770207,1431848172,4,2022,assam
1480,jorhat district,2231248,3528373898,4,2022,assam
1481,madhepura district,79822,85073945.8,1,2018,bihar
1482,purnia district,132262,139947209,1,2018,bihar
1483,nalanda district,208901,190613486,1,2018,bihar
1484,buxar district,61490,56987162.14,1,2018,bihar
1485,darbhanga district,217364,224628301.6,1,2018,bihar
1486,nawada district,78480,81161592.44,1,2018,bihar
1487,jamui district,48226,44565632.64,1,2018,bihar
1488,sheikhpura district,20728,23630132.08,1,2018,bihar
1489,siwan district,129094,169228975.7,1,2018,bihar
1490,muzaffarpur district,388401,394717112.6,1,2018,bihar
1491,patna district,1197281,1282492051,1,2018,bihar
1492,jehanabad district,52401,47274894.95,1,2018,bihar
1493,rohtas district,201231,181378995,1,2018,bihar
1494,begusarai district,134911,130265729.7,1,2018,bihar
1495,supaul district,85807,71313091.36,1,2018,bihar
1496,sitamarhi district,145625,162281680.1,1,2018,bihar
1497,saran district,149786,171839806.8,1,2018,bihar
1498,arwal district,31620,27549102.08,1,2018,bihar
1499,vaishali district,201678,211794626.3,1,2018,bihar
1500,pashchim champaran district,215866,236190496.6,1,2018,bihar
1501,gopalganj district,107134,141070590.5,1,2018,bihar
1502,lakhisarai district,42937,43611675.08,1,2018,bihar
1503,aurangabad district,114354,114737537.9,1,2018,bihar
1504,kaimur bhabua district,64493,70110158.7,1,2018,bihar
1505,araria district,81597,95184067.65,1,2018,bihar
1506,munger district,64639,64455596.26,1,2018,bihar
1507,katihar district,138075,129701645.5,1,2018,bihar
1508,khagaria district,65892,71955894.82,1,2018,bihar
1509,saharsa district,88087,82038819.77,1,2018,bihar
1510,bhagalpur district,174456,172905796.1,1,2018,bihar
1511,madhubani district,173946,203080851,1,2018,bihar
1512,kishanganj district,38179,45880790.35,1,2018,bihar
1513,gaya district,231873,227470166.1,1,2018,bihar
1514,samastipur district,222241,213634124.8,1,2018,bihar
1515,banka district,39192,32623795.99,1,2018,bihar
1516,purbi champaran district,254643,264192918.5,1,2018,bihar
1517,sheohar district,25700,22183882.58,1,2018,bihar
1518,bhojpur district,115890,117985836.8,1,2018,bihar
1519,madhepura district,128793,257666353.5,2,2018,bihar
1520,purnia district,200492,341288206.4,2,2018,bihar
1521,nalanda district,306468,368156034.4,2,2018,bihar
1522,buxar district,95499,121370124.4,2,2018,bihar
1523,darbhanga district,322140,569573309.7,2,2018,bihar
1524,nawada district,117582,171877320.7,2,2018,bihar
1525,jamui district,73817,105507695.7,2,2018,bihar
1526,sheikhpura district,30292,43496026.13,2,2018,bihar
1527,siwan district,216997,449888077.4,2,2018,bihar
1528,muzaffarpur district,554675,841276317.7,2,2018,bihar
1529,patna district,1650942,2328839156,2,2018,bihar
1530,jehanabad district,76302,94030824.15,2,2018,bihar
1531,rohtas district,281535,364889751.1,2,2018,bihar
1532,begusarai district,200949,276462421,2,2018,bihar
1533,supaul district,120248,207587718.3,2,2018,bihar
