S.no,District,RegisteredUsers,Appopens,Quarter,Year,State
2407,dantewada district,20567,125417,2,2019,chhattisgarh
2408,gariyaband district,29595,162851,2,2019,chhattisgarh
2409,durg district,257557,1648362,2,2019,chhattisgarh
2410,rajnandgaon district,91198,489047,2,2019,chhattisgarh
2411,raipur district,405792,2581481,2,2019,chhattisgarh
2412,narayanpur district,7310,49504,2,2019,chhattisgarh
2413,kanker district,42656,254042,2,2019,chhattisgarh
2414,korea district,47709,253724,2,2019,chhattisgarh
2415,mungeli district,31068,152275,2,2019,chhattisgarh
2416,bilaspur district,209039,1112112,2,2019,chhattisgarh
2417,balrampur district,32072,214601,2,2019,chhattisgarh
2418,bijapur district,15866,129715,2,2019,chhattisgarh
2419,bemetara district,41571,196879,2,2019,chhattisgarh
2420,bastar district,48796,306391,2,2019,chhattisgarh
2421,kondagaon district,23091,131604,2,2019,chhattisgarh
2422,mahasamund district,65492,338064,2,2019,chhattisgarh
2423,dhamtari district,56490,810027,3,2019,chhattisgarh
2424,korba district,131850,2213038,3,2019,chhattisgarh
2425,surajpur district,49502,764794,3,2019,chhattisgarh
2426,baloda bazar district,93416,1376499,3,2019,chhattisgarh
2427,sukma district,15279,358888,3,2019,chhattisgarh
2428,raigarh district,170447,2931974,3,2019,chhattisgarh
2429,janjgir champa district,161232,4799392,3,2019,chhattisgarh
2430,jashpur district,45820,746166,3,2019,chhattisgarh
2431,balod district,54969,765025,3,2019,chhattisgarh
2432,kabirdham district,47753,690082,3,2019,chhattisgarh
2433,surguja district,79170,1391594,3,2019,chhattisgarh
2434,dantewada district,23099,484093,3,2019,chhattisgarh
2435,gariyaband district,32332,539156,3,2019,chhattisgarh
2436,durg district,289803,6359888,3,2019,chhattisgarh
2437,rajnandgaon district,101617,1607087,3,2019,chhattisgarh
2438,raipur district,455785,9790726,3,2019,chhattisgarh
2439,narayanpur district,8433,184839,3,2019,chhattisgarh
2440,kanker district,48053,894748,3,2019,chhattisgarh
2441,korea district,52380,850973,3,2019,chhattisgarh
2442,mungeli district,34553,460088,3,2019,chhattisgarh
2443,bilaspur district,230364,3912885,3,2019,chhattisgarh
2444,balrampur district,35659,702832,3,2019,chhattisgarh
2445,bijapur district,18114,447468,3,2019,chhattisgarh
2446,bemetara district,45724,628499,3,2019,chhattisgarh
2447,bastar district,55159,1064689,3,2019,chhattisgarh
2448,kondagaon district,26016,469456,3,2019,chhattisgarh
2449,mahasamund district,72039,1117435,3,2019,chhattisgarh
2450,dhamtari district,62892,1008239,4,2019,chhattisgarh
2451,korba district,147812,2916267,4,2019,chhattisgarh
2452,surajpur district,56178,1035362,4,2019,chhattisgarh
2453,baloda bazar district,104742,1738972,4,2019,chhattisgarh
2454,sukma district,17353,417726,4,2019,chhattisgarh
2455,raigarh district,189764,3695931,4,2019,chhattisgarh
2456,janjgir champa district,180195,5052142,4,2019,chhattisgarh
2457,jashpur district,52404,952488,4,2019,chhattisgarh
2458,balod district,61992,973572,4,2019,chhattisgarh
2459,kabirdham district,53883,867524,4,2019,chhattisgarh
2460,surguja district,89297,1819241,4,2019,chhattisgarh
2461,dantewada district,26072,563817,4,2019,chhattisgarh
2462,gariyaband district,35867,668602,4,2019,chhattisgarh
2463,durg district,321390,7774097,4,2019,chhattisgarh
2464,rajnandgaon district,113965,2012284,4,2019,chhattisgarh
2465,raipur district,506122,12048734,4,2019,chhattisgarh
2466,narayanpur district,9565,214657,4,2019,chhattisgarh
2467,kanker district,55163,1096822,4,2019,chhattisgarh
2468,korea district,58350,1109403,4,2019,chhattisgarh
2469,mungeli district,39349,594474,4,2019,chhattisgarh
2470,bilaspur district,257350,5102876,4,2019,chhattisgarh
2471,balrampur district,40750,945187,4,2019,chhattisgarh
2472,bijapur district,20595,521944,4,2019,chhattisgarh
2473,bemetara district,51556,800417,4,2019,chhattisgarh
2474,bastar district,62497,1336400,4,2019,chhattisgarh
2475,kondagaon district,29904,567001,4,2019,chhattisgarh
2476,mahasamund district,80893,1444798,4,2019,chhattisgarh
2477,dhamtari district,69476,1177494,1,2020,chhattisgarh
2478,korba district,163500,3380235,1,2020,chhattisgarh
2479,surajpur district,61965,1215929,1,2020,chhattisgarh
2480,baloda bazar district,115907,2012251,1,2020,chhattisgarh
2481,sukma district,19269,475708,1,2020,chhattisgarh
2482,raigarh district,208338,4122100,1,2020,chhattisgarh
2483,janjgir champa district,199431,5380445,1,2020,chhattisgarh
2484,jashpur district,59351,1142635,1,2020,chhattisgarh
2485,balod district,68724,1158964,1,2020,chhattisgarh
2486,kabirdham district,60401,1057255,1,2020,chhattisgarh
2487,surguja district,98711,2073053,1,2020,chhattisgarh
2488,dantewada district,28594,616147,1,2020,chhattisgarh
2489,gariyaband district,39610,776632,1,2020,chhattisgarh
2490,durg district,353311,8458392,1,2020,chhattisgarh
2491,rajnandgaon district,126699,2331110,1,2020,chhattisgarh
2492,raipur district,559412,13218985,1,2020,chhattisgarh
2493,narayanpur district,10674,243682,1,2020,chhattisgarh
2494,kanker district,61891,1271896,1,2020,chhattisgarh
2495,korea district,63940,1222085,1,2020,chhattisgarh
2496,mungeli district,44303,709713,1,2020,chhattisgarh
2497,bilaspur district,284320,5715987,1,2020,chhattisgarh
2498,balrampur district,45517,1106067,1,2020,chhattisgarh
2499,bijapur district,22680,585981,1,2020,chhattisgarh
2500,bemetara district,57258,960530,1,2020,chhattisgarh
2501,bastar district,69623,1449271,1,2020,chhattisgarh
2502,kondagaon district,33640,683246,1,2020,chhattisgarh
2503,mahasamund district,89942,1678308,1,2020,chhattisgarh
2504,dhamtari district,79474,1468767,2,2020,chhattisgarh
2505,korba district,184399,3948081,2,2020,chhattisgarh
2506,surajpur district,70166,1405897,2,2020,chhattisgarh
2507,baloda bazar district,134301,2668360,2,2020,chhattisgarh
2508,sukma district,21763,549741,2,2020,chhattisgarh
2509,raigarh district,233080,4690035,2,2020,chhattisgarh
2510,janjgir champa district,227716,6918427,2,2020,chhattisgarh
2511,jashpur district,69500,1452221,2,2020,chhattisgarh
2512,balod district,79582,1524125,2,2020,chhattisgarh
2513,kabirdham district,70568,1431151,2,2020,chhattisgarh
2514,surguja district,110765,2058364,2,2020,chhattisgarh
2515,dantewada district,32064,696614,2,2020,chhattisgarh
2516,gariyaband district,45722,991698,2,2020,chhattisgarh
2517,durg district,387874,7558938,2,2020,chhattisgarh
2518,rajnandgaon district,146098,2708564,2,2020,chhattisgarh
2519,raipur district,616931,11213191,2,2020,chhattisgarh
2520,narayanpur district,12161,286793,2,2020,chhattisgarh
2521,kanker district,71514,1475562,2,2020,chhattisgarh
2522,korea district,71660,1446776,2,2020,chhattisgarh
2523,mungeli district,52631,1062091,2,2020,chhattisgarh
2524,bilaspur district,316669,5179966,2,2020,chhattisgarh
2525,balrampur district,52871,1426830,2,2020,chhattisgarh
2526,bijapur district,25534,653143,2,2020,chhattisgarh
2527,bemetara district,67115,1295832,2,2020,chhattisgarh
2528,bastar district,78865,1465913,2,2020,chhattisgarh
2529,kondagaon district,39518,800308,2,2020,chhattisgarh
2530,mahasamund district,103117,2115996,2,2020,chhattisgarh
2531,dhamtari district,89508,1790640,3,2020,chhattisgarh
2532,korba district,204448,5026826,3,2020,chhattisgarh
2533,surajpur district,79907,1841882,3,2020,chhattisgarh
2534,baloda bazar district,150975,3180025,3,2020,chhattisgarh
2535,sukma district,24549,686019,3,2020,chhattisgarh
2536,raigarh district,259581,6050750,3,2020,chhattisgarh
2537,janjgir champa district,254275,7932461,3,2020,chhattisgarh
2538,jashpur district,79728,1779430,3,2020,chhattisgarh
2539,balod district,90672,1852205,3,2020,chhattisgarh
2540,kabirdham district,80175,1675078,3,2020,chhattisgarh
2541,surguja district,124081,2702225,3,2020,chhattisgarh
2542,dantewada district,36067,879769,3,2020,chhattisgarh
2543,gariyaband district,51653,1150137,3,2020,chhattisgarh
2544,durg district,426052,9982427,3,2020,chhattisgarh
2545,rajnandgaon district,166416,3393874,3,2020,chhattisgarh
2546,raipur district,679027,15366190,3,2020,chhattisgarh
2547,narayanpur district,14025,345785,3,2020,chhattisgarh
2548,kanker district,81984,1829476,3,2020,chhattisgarh
2549,korea district,80301,1900699,3,2020,chhattisgarh
2550,mungeli district,59262,1136447,3,2020,chhattisgarh
2551,bilaspur district,349586,6741931,3,2020,chhattisgarh
2552,balrampur district,60953,1765014,3,2020,chhattisgarh
2553,bijapur district,28816,818562,3,2020,chhattisgarh
2554,bemetara district,75434,1493775,3,2020,chhattisgarh
2555,bastar district,89115,1887298,3,2020,chhattisgarh
2556,kondagaon district,46426,1027009,3,2020,chhattisgarh
2557,mahasamund district,116370,2682672,3,2020,chhattisgarh
2558,dhamtari district,98847,2126899,4,2020,chhattisgarh
2559,korba district,225683,6558373,4,2020,chhattisgarh
2560,surajpur district,88664,2246840,4,2020,chhattisgarh
2561,baloda bazar district,166144,3814790,4,2020,chhattisgarh
2562,sukma district,27330,815257,4,2020,chhattisgarh
2563,raigarh district,285081,7364429,4,2020,chhattisgarh
2564,janjgir champa district,280474,9105398,4,2020,chhattisgarh
2565,jashpur district,89257,2102983,4,2020,chhattisgarh
2566,balod district,100350,2189077,4,2020,chhattisgarh
2567,kabirdham district,88933,1989496,4,2020,chhattisgarh
2568,surguja district,137221,3521741,4,2020,chhattisgarh
2569,dantewada district,39961,1055061,4,2020,chhattisgarh
2570,gariyaband district,57272,1386237,4,2020,chhattisgarh
2571,durg district,464870,13127877,4,2020,chhattisgarh
2572,rajnandgaon district,185815,4241707,4,2020,chhattisgarh
2573,raipur district,743167,20905346,4,2020,chhattisgarh
2574,narayanpur district,15750,421492,4,2020,chhattisgarh
2575,kanker district,92301,2228681,4,2020,chhattisgarh
2576,korea district,88889,2406865,4,2020,chhattisgarh
2577,mungeli district,65436,1341069,4,2020,chhattisgarh
2578,bilaspur district,384115,9161691,4,2020,chhattisgarh
2579,balrampur district,68062,1962238,4,2020,chhattisgarh
2580,bijapur district,32020,1041505,4,2020,chhattisgarh
2581,bemetara district,83243,1751930,4,2020,chhattisgarh
2582,bastar district,99717,2428240,4,2020,chhattisgarh
2583,kondagaon district,52463,1246665,4,2020,chhattisgarh
2584,mahasamund district,129536,3358580,4,2020,chhattisgarh
2585,dhamtari district,106354,2232426,1,2021,chhattisgarh
2586,korba district,243030,7257892,1,2021,chhattisgarh
2587,surajpur district,96117,2611995,1,2021,chhattisgarh
2588,baloda bazar district,178486,4204907,1,2021,chhattisgarh
2589,sukma district,29547,879035,1,2021,chhattisgarh
2590,raigarh district,306712,8346426,1,2021,chhattisgarh
2591,janjgir champa district,301931,9881334,1,2021,chhattisgarh
2592,jashpur district,96584,2306566,1,2021,chhattisgarh
2593,balod district,107814,2315276,1,2021,chhattisgarh
2594,kabirdham district,96069,2239620,1,2021,chhattisgarh
2595,surguja district,147969,4112955,1,2021,chhattisgarh
2596,dantewada district,43171,1131007,1,2021,chhattisgarh
2597,gariyaband district,61687,1473412,1,2021,chhattisgarh
2598,durg district,498453,14831934,1,2021,chhattisgarh
2599,rajnandgaon district,200572,4865613,1,2021,chhattisgarh
2600,raipur district,800224,24692422,1,2021,chhattisgarh
2601,narayanpur district,17030,425638,1,2021,chhattisgarh
2602,kanker district,99897,2351676,1,2021,chhattisgarh
2603,korea district,96149,2685639,1,2021,chhattisgarh
2604,mungeli district,70557,1531522,1,2021,chhattisgarh
2605,bilaspur district,413692,11193132,1,2021,chhattisgarh
2606,balrampur district,73826,2249510,1,2021,chhattisgarh
2607,bijapur district,34702,1108201,1,2021,chhattisgarh
2608,bemetara district,89481,1910858,1,2021,chhattisgarh
2609,bastar district,107818,2740623,1,2021,chhattisgarh
2610,kondagaon district,57107,1323116,1,2021,chhattisgarh
2611,mahasamund district,139572,3745969,1,2021,chhattisgarh
2612,dhamtari district,113769,4464656,2,2021,chhattisgarh
2613,korba district,260168,11814325,2,2021,chhattisgarh
2614,surajpur district,103184,6798211,2,2021,chhattisgarh
2615,baloda bazar district,191114,8378757,2,2021,chhattisgarh
2616,sukma district,31825,2245148,2,2021,chhattisgarh
2617,raigarh district,328664,12301515,2,2021,chhattisgarh
2618,janjgir champa district,322297,14544124,2,2021,chhattisgarh
2619,jashpur district,104482,7710351,2,2021,chhattisgarh
2620,balod district,115485,5155212,2,2021,chhattisgarh
2621,kabirdham district,103257,5323462,2,2021,chhattisgarh
2622,surguja district,158949,6989066,2,2021,chhattisgarh
2623,dantewada district,46424,2354791,2,2021,chhattisgarh
2624,gariyaband district,66482,4445890,2,2021,chhattisgarh
2625,durg district,531550,12403562,2,2021,chhattisgarh
2626,rajnandgaon district,215143,10469078,2,2021,chhattisgarh
2627,raipur district,855848,24005556,2,2021,chhattisgarh
2628,narayanpur district,18307,996566,2,2021,chhattisgarh
2629,kanker district,107701,6443903,2,2021,chhattisgarh
2630,korea district,103611,6376837,2,2021,chhattisgarh
2631,mungeli district,75644,3600246,2,2021,chhattisgarh
2632,bilaspur district,442330,14110873,2,2021,chhattisgarh
2633,balrampur district,79703,8600032,2,2021,chhattisgarh
2634,bijapur district,37320,2519855,2,2021,chhattisgarh
2635,bemetara district,96198,5123252,2,2021,chhattisgarh
2636,bastar district,115879,5575817,2,2021,chhattisgarh
2637,kondagaon district,61738,4297614,2,2021,chhattisgarh
2638,mahasamund district,149983,8736018,2,2021,chhattisgarh
2639,dhamtari district,122349,5603133,3,2021,chhattisgarh
2640,korba district,279897,16623063,3,2021,chhattisgarh
2641,surajpur district,111753,9477903,3,2021,chhattisgarh
2642,baloda bazar district,205941,10767066,3,2021,chhattisgarh
2643,sukma district,34529,3197451,3,2021,chhattisgarh
2644,raigarh district,354087,17052359,3,2021,chhattisgarh
2645,janjgir champa district,346366,17403707,3,2021,chhattisgarh
2646,jashpur district,113637,9804141,3,2021,chhattisgarh
2647,balod district,124200,6355356,3,2021,chhattisgarh
2648,kabirdham district,111708,6730485,3,2021,chhattisgarh
2649,surguja district,171276,10031433,3,2021,chhattisgarh
2650,dantewada district,50242,3121282,3,2021,chhattisgarh
2651,gariyaband district,71885,6272737,3,2021,chhattisgarh
2652,durg district,568361,16727312,3,2021,chhattisgarh
2653,rajnandgaon district,232140,14066183,3,2021,chhattisgarh
2654,raipur district,917950,34032629,3,2021,chhattisgarh
2655,narayanpur district,19877,1332425,3,2021,chhattisgarh
2656,kanker district,116559,8813895,3,2021,chhattisgarh
2657,korea district,111913,8619169,3,2021,chhattisgarh
2658,mungeli district,81387,4340738,3,2021,chhattisgarh
2659,bilaspur district,474660,19564262,3,2021,chhattisgarh
2660,balrampur district,86704,11635114,3,2021,chhattisgarh
2661,bijapur district,40492,3474467,3,2021,chhattisgarh
2662,bemetara district,103776,5967838,3,2021,chhattisgarh
2663,bastar district,125186,7716420,3,2021,chhattisgarh
2664,kondagaon district,67316,6141062,3,2021,chhattisgarh
2665,mahasamund district,161893,11614446,3,2021,chhattisgarh
2666,dhamtari district,130540,4563914,4,2021,chhattisgarh
2667,korba district,299191,15291693,4,2021,chhattisgarh
2668,surajpur district,119950,5888039,4,2021,chhattisgarh
2669,baloda bazar district,220188,9299441,4,2021,chhattisgarh
2670,sukma district,37238,1683971,4,2021,chhattisgarh
2671,raigarh district,378507,18123023,4,2021,chhattisgarh
2672,janjgir champa district,368980,19120514,4,2021,chhattisgarh
2673,jashpur district,122371,5203432,4,2021,chhattisgarh
2674,balod district,132353,4855195,4,2021,chhattisgarh
2675,kabirdham district,119692,4796979,4,2021,chhattisgarh
2676,surguja district,183559,9370119,4,2021,chhattisgarh
2677,dantewada district,53888,2137469,4,2021,chhattisgarh
2678,gariyaband district,77202,3266847,4,2021,chhattisgarh
2679,durg district,604621,26669512,4,2021,chhattisgarh
2680,rajnandgaon district,248230,10157759,4,2021,chhattisgarh
2681,raipur district,979741,44316810,4,2021,chhattisgarh
2682,narayanpur district,21314,840302,4,2021,chhattisgarh
2683,kanker district,125415,4897534,4,2021,chhattisgarh
2684,korea district,120005,5630126,4,2021,chhattisgarh
2685,mungeli district,87075,3539284,4,2021,chhattisgarh
2686,bilaspur district,506449,23402865,4,2021,chhattisgarh
2687,balrampur district,93661,5017173,4,2021,chhattisgarh
2688,bijapur district,43663,2174445,4,2021,chhattisgarh
2689,bemetara district,111174,3953868,4,2021,chhattisgarh
2690,bastar district,134164,6108764,4,2021,chhattisgarh
2691,kondagaon district,72791,3197223,4,2021,chhattisgarh
2692,mahasamund district,173519,8246282,4,2021,chhattisgarh
